2011	1	1	3.24	9.44375	2427.36
2011	1	2	1.9	9.45	2216.32
2011	1	3	2.22	9.422916667	2083.49
2011	1	4	2.84	9.402083333	1969.22
2011	1	5	0.75	9.366666667	1875.31
2011	1	6	0.35	9.2875	1807.64
2011	1	7	1.14	9.222916667	1748.84
2011	1	8	2.33	9.164583333	1753.83
2011	1	9	3.37	9.285416667	1884
2011	1	10	3.69	9.372916667	1949.83
2011	1	11	4.91	9.4875	1973.44
2011	1	12	5.88	9.610416667	2288.53
2011	1	13	3.8	9.704166667	2429.65
2011	1	14	3.25	9.820833333	2223.81
2011	1	15	3.41	9.852083333	1999.51
2011	1	16	4.82	9.852083333	1863.42
2011	1	17	4.03	9.839583333	1766.39
2011	1	18	1.67	9.722916667	1691.52
2011	1	19	0.66	9.641666667	1629.64
2011	1	20	1.3	9.53125	1598.05
2011	1	21	4.86	9.422916667	1590.67
2011	1	22	3.84	9.245833333	1594.75
2011	1	23	2.73	9.160416667	1554.49
2011	1	24	1.66	8.914583333	1503.95
2011	1	25	0.36	8.816666667	1464.16
2011	1	26	1.25	8.735416667	1440.68
2011	1	27	1.82	8.670833333	1427.11
2011	1	28	3.96	8.708333333	1416.82
2011	1	29	4.15	8.610416667	1409.36
2011	1	30	2.78	8.741666667	1400.44
2011	1	31	2	8.695833333	1381.68
2011	2	1	3.07	8.74375	1378.49
2011	2	2	1.34	8.66875	1390.01
2011	2	3	0.23	8.622916667	1402.96
2011	2	4	1.38	8.629166667	1391.64
2011	2	5	2.16	8.7	1345.09
2011	2	6	4.94	8.777083333	1319.71
2011	2	7	5.24	8.883333333	1291.27
2011	2	8	4.64	8.98125	1290.93
2011	2	9	3.02	9.114583333	1305.12
2011	2	10	4.3	9.227083333	1302.27
2011	2	11	5.53	9.34375	1290.09
2011	2	12	7.12	9.48125	1263.31
2011	2	13	6.78	9.785416667	1247.87
2011	2	14	7.64	9.81875	1229.31
2011	2	15	7.65	10.00833333	1223.85
2011	2	16	8.87	10.13333333	1245.34
2011	2	17	7.76	10.17916667	1330.96
2011	2	18	8.01	10.17708333	1834.51
2011	2	19	8.42	10.09375	2288.33
